"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185404967819.375","191866753330.019","202309457388.127","211841392347.551","220082290364.602","231353316056.791","241817239647.53","252674583421.121","265755614506.452","278166817262.825","292891006710.801","307761925989.386","319558822052.481","334704527805.124","352241481691.733","375263790993.624","400301034556.576","428556680809.182","454329178591.34","477250652625.34","503842048117.849","536412308288.868","571394215867.741","605755610765.035","642470817903.494","684569616926.987","733266327481.642","781590411613.399","838798238917.004","904911604398.012","936113150664.88","1001067000655.87",
"Bulgaria","BGR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109065463549.953","99854497756.5903","92592691277.7838","91222120507.5697","92880548997.6532","95538077703.9142","100511211132.46","86323669989.1499","89594577988.0658","82072135987.8446","85836969349.3942","89119120432.9039","94352134078.207","99293501788.8271","105757931090.862","113220579740.623","120922510699.597","128969162319.8","136874404123.602","132293023325.259","134332719067.976","137155325885.288","138190753116.389","137416202284.185","138744836989.495","143501086191.17","147863268480.986","151947504742.902","156026931463.075","162327520834.785","155901599898.274","167804078591.025",
"Bahrain","BHR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19143294359.5147","21293086082.5424","22717593193.6643","25641348952.8748","25577245199.8358","26582428773.7152","27674968221.8626","28530954929.9429","29897588466.6886","31183184459.9341","32835915082.0051","33653840687.5828","34780756594.7147","36970706753.4516","39551617223.3436","42228865351.1674","44959806124.9449","48688754662.264","51729372637.1175","53043239697.4314","55342292396.8801","56440015074.3357","58544160034.475","61715403401.7232","64400264665.9136","66000855034.9501","68349250016.7145","71282082008.2729","72786939763.3731","74364207031.5634","70693697615.8936","72266880694.0105",
"Bahamas, The","BHS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9755552185.69874","9347595989.1044","8989996042.35586","9017667815.77473","9301626566.18339","9708921733.89829","10118980997.2984","10814735762.6405","10327683688.1232","11587404794.4363","12068193339.1886","12385002674.6964","12719976246.5222","12559128802.1601","12669993278.9985","13100172503.2506","13429884710.074","13624179403.3806","13307620609.0635","12751920248.3231","12948094000.5592","13027515557.9779","13429659223.0024","13045128603.6768","13286111647.8509","13418547721.1995","13303461625.2996","13709238137.5877","13960255356.4451","14224964651.3685","10836207142.6745","12322906040.6073",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6509915877.6174","7863978220.13906","14859589713.9361","19969739322.3871","23085017994.7671","25301179656.8009","28530994018.3753","29222389354.4709","30691528675.3185","31878412687.5415","33894807140.3579","35215748103.9585","37122329963.7887","39296631730.9254","41435873964.6074","40190951392.0751","40538872103.6731","40927847141.0126","40591487165.0961","41545328930.9556","42024700162.5021","43322911528.6744","44687499762.6781","46104734729.2774","47829085511.1595","49183127547.7619","47648962915.008","51244358834.1628",
"Belarus","BLR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90636010186.3001","89548382078.8226","80951736149.1807","74799402710.5413","66047869678.0612","59178890906.9179","60835902604.4492","67771198789.7528","73463973673.54","75961748163.7156","80367532170.3519","84165143985.127","88411500624.1222","94638492857.1568","105474357168.12","115388948348.906","126927837197.965","137843639493.308","151903689949.072","152207490204.709","164077036415.003","172902260196.085","175819355671.141","177583651637.882","180649428903.241","173731331560.254","169342102526.663","173630155305.786","179098111978.7","181605485546.401","180334959742.72","184482446353.991",
"Belize","BLZ","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1167930669.86615","1301692363.07726","1458384632.26741","1549342583.65097","1552399993.78151","1562336576.70576","1578387979.89109","1634950067.30608","1699155680.04741","1851261834.04176","2092032881.82175","2197513531.32537","2309873353.6227","2525420767.82575","2642366705.31889","2700457497.79914","2824282608.086","2916769264.53482","2872436817.642","2859442824.58721","2895367393.62105","2892309983.49051","3003905453.2552","3139960204.06422","3268371429.54688","3378438194.24631","3382259956.90948","3324933516.96187","3361622438.52834","3512964239.99006","3042123079.88695","3505320714.66371",
"Bermuda","BMU","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3913226388.85258","3774918015.8216","3772662947.20449","3886166044.31753","3909468015.37137","4081451312.28006","4187588450.80187","4380217554.82478","4551046043.59044","4704991866.95012","5143363318.31215","5514839418.43801","5433341640.0347","5618656986.12881","5749081029.13362","5845332495.22823","6169389918.25616","6375764630.20097","6256795678.60925","5904744699.40928","5756956126.27891","5541487978.00699","5247495465.80897","5232817772.57041","5039147649.75544","5078227736.38443","5044853303.55627","5227044136.51153","5204421421.5194","5220360833.0949","4863394898.50026","5126676425.62311",
"Bolivia","BOL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31491963952.8772","33150496632.6151","33696318957.3832","35134914594.073","36774754201.7743","38495178921.2368","40174085309.1978","42164393356.0052","44284990278.354","44474036446.2472","45589361139.4424","46356994404.4128","47509227974.4205","48797364598.7453","50833822863.1722","53081406346.9039","55627726093.035","58166789271.9605","61743173074.0827","63815891131.3424","66449395927.3437","69907483919.2749","73488337897.3058","78482613739.1336","82768211412.7602","86788418466.2342","90489007925.7654","94285208488.0407","98267460721.3149","100445761200.531","91668926667.9852","97266051865.6831",
"Brazil","BRA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567624706715.49","1583805565677.82","1575188522272.15","1652761673968.03","1749495672141.34","1823390758959.68","1863666981932.47","1926935605666.73","1933450534507.11","1942497875887.32","2027733700699.16","2055917098426.16","2118693742881.18","2142864415484.05","2266292648028.57","2338862331514.07","2431527793059.78","2579118383866.48","2710503715139.51","2707093576146.84","2910889693667.9","3026580765470.29","3084726708326.29","3177417275748.49","3193430052501.07","3080198578728.19","2979293832693.14","3018705988834.88","3072549644189.18","3110058648864.8","2989429540078.64","3127523894587.82",
"Barbados","BRB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3649364591.12634","3507042772.25239","3307403633.83192","3333633593.62439","3400665713.09404","3469155052.55215","3607105211.46069","3778085690.1079","3918950288.99339","3932065268.88962","4106931667.50608","4009783668.27471","4041356768.02491","4129275707.3293","4187564506.86812","4353201845.5576","4619300561.71424","4715273410.1729","4745455787.7401","4507340941.35406","4400734904.36152","4370467570.86899","4351557469.94861","4288572730.42294","4284830395.19655","4390777963.0503","4501997461.37833","4522539648.68581","4476086875.63334","4470216610.63178","3875185115.33965","3867850441.39769",
"Brunei Darussalam","BRN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18428919884.5686","19008682897.7249","19913226441.082","19973876727.188","20602134525.5171","21524843836.6747","22144397236.8854","21818615159.9052","21696756263.0502","22358975358.8289","22996076889.8896","23627098557.2186","24541962723.8529","25254650394.4204","25382014206.0119","25480371340.6547","26600926645.0082","26642046839.3565","26125267156.9915","25664277532.74","26331283314.8852","27317473701.2105","27566838984.6099","26980760126.4509","26303987537.3725","26200774964.8048","25551541319.6116","25891019749.5614","25904544646.2882","26906819938.6988","27211828478.7284","26778952921.2749",
