Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,BGR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09065E+11,99854497757,92592691278,91222120508,92880548998,95538077704,1.00511E+11,86323669989,89594577988,82072135988,85836969349,89119120433,94352134078,99293501789,1.05758E+11,1.13221E+11,1.20923E+11,1.28969E+11,1.36874E+11,1.32293E+11,1.34333E+11,1.37155E+11,1.38191E+11,1.37416E+11,1.38745E+11,1.43501E+11,1.47863E+11,1.51948E+11,1.56027E+11,1.62328E+11,1.55902E+11,1.67804E+11
Bahrain,BHR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19143294360,21293086083,22717593194,25641348953,25577245200,26582428774,27674968222,28530954930,29897588467,31183184460,32835915082,33653840688,34780756595,36970706753,39551617223,42228865351,44959806125,48688754662,51729372637,53043239697,55342292397,56440015074,58544160034,61715403402,64400264666,66000855035,68349250017,71282082008,72786939763,74364207032,70693697616,72266880694
"Bahamas, The",BHS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9755552186,9347595989,8989996042,9017667816,9301626566,9708921734,10118980997,10814735763,10327683688,11587404794,12068193339,12385002675,12719976247,12559128802,12669993279,13100172503,13429884710,13624179403,13307620609,12751920248,12948094001,13027515558,13429659223,13045128604,13286111648,13418547721,13303461625,13709238138,13960255356,14224964651,10836207143,12322906041
Bosnia and Herzegovina,BIH,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509915878,7863978220,14859589714,19969739322,23085017995,25301179657,28530994018,29222389354,30691528675,31878412688,33894807140,35215748104,37122329964,39296631731,41435873965,40190951392,40538872104,40927847141,40591487165,41545328931,42024700163,43322911529,44687499763,46104734729,47829085511,49183127548,47648962915,51244358834
Belarus,BLR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90636010186,89548382079,80951736149,74799402711,66047869678,59178890907,60835902604,67771198790,73463973674,75961748164,80367532170,84165143985,88411500624,94638492857,1.05474E+11,1.15389E+11,1.26928E+11,1.37844E+11,1.51904E+11,1.52207E+11,1.64077E+11,1.72902E+11,1.75819E+11,1.77584E+11,1.80649E+11,1.73731E+11,1.69342E+11,1.7363E+11,1.79098E+11,1.81605E+11,1.80335E+11,1.84482E+11
Belize,BLZ,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167930670,1301692363,1458384632,1549342584,1552399994,1562336577,1578387980,1634950067,1699155680,1851261834,2092032882,2197513531,2309873354,2525420768,2642366705,2700457498,2824282608,2916769265,2872436818,2859442825,2895367394,2892309983,3003905453,3139960204,3268371430,3378438194,3382259957,3324933517,3361622439,3512964240,3042123080,3505320715
Bermuda,BMU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913226389,3774918016,3772662947,3886166044,3909468015,4081451312,4187588451,4380217555,4551046044,4704991867,5143363318,5514839418,5433341640,5618656986,5749081029,5845332495,6169389918,6375764630,6256795679,5904744699,5756956126,5541487978,5247495466,5232817773,5039147650,5078227736,5044853304,5227044137,5204421422,5220360833,4863394899,5126676426
Bolivia,BOL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31491963953,33150496633,33696318957,35134914594,36774754202,38495178921,40174085309,42164393356,44284990278,44474036446,45589361139,46356994404,47509227974,48797364599,50833822863,53081406347,55627726093,58166789272,61743173074,63815891131,66449395927,69907483919,73488337897,78482613739,82768211413,86788418466,90489007926,94285208488,98267460721,1.00446E+11,91668926668,97266051866
Brazil,BRA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56762E+12,1.58381E+12,1.57519E+12,1.65276E+12,1.7495E+12,1.82339E+12,1.86367E+12,1.92694E+12,1.93345E+12,1.9425E+12,2.02773E+12,2.05592E+12,2.11869E+12,2.14286E+12,2.26629E+12,2.33886E+12,2.43153E+12,2.57912E+12,2.7105E+12,2.70709E+12,2.91089E+12,3.02658E+12,3.08473E+12,3.17742E+12,3.19343E+12,3.0802E+12,2.97929E+12,3.01871E+12,3.07255E+12,3.11006E+12,2.98943E+12,3.12752E+12
Barbados,BRB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3649364591,3507042772,3307403634,3333633594,3400665713,3469155053,3607105211,3778085690,3918950289,3932065269,4106931668,4009783668,4041356768,4129275707,4187564507,4353201846,4619300562,4715273410,4745455788,4507340941,4400734904,4370467571,4351557470,4288572730,4284830395,4390777963,4501997461,4522539649,4476086876,4470216611,3875185115,3867850441
